Date,Open,High,Low,Close,Adj_Close,Volume
2013-01-02,13.601429,13.687143,12.955714,13.144286,13.144286,19431300
2013-01-03,13.138572,13.988571,13.075714,13.798572,13.798572,27912500
2013-01-04,13.791429,13.958571,13.648571,13.711429,13.711429,17761100
2013-01-07,13.770000,14.535714,13.731428,14.171429,14.171429,45550400
2013-01-08,14.287143,14.427143,13.828571,13.880000,13.880000,24714900
2013-01-09,13.874286,13.992857,13.507143,13.701428,13.701428,20223000
2013-01-10,13.795714,14.274285,13.671429,14.000000,14.000000,26117700
2013-01-11,14.025714,14.560000,14.000000,14.470000,14.470000,29851500
2013-01-14,14.427143,14.928572,14.365714,14.778571,14.778571,23473100
2013-01-15,14.717143,14.908571,14.435715,14.527143,14.527143,17068100
2013-01-16,14.545714,14.614285,13.822857,13.925714,13.925714,28014700
2013-01-17,14.012857,14.085714,13.678572,13.957143,13.957143,16221100
2013-01-18,14.340000,14.562857,14.097143,14.167143,14.167143,35999600
2013-01-22,14.235714,14.235714,13.798572,13.972857,13.972857,22773100
2013-01-23,13.875714,14.832857,13.860000,14.751429,14.751429,74235000
2013-01-24,20.570000,21.309999,19.945715,20.980000,20.980000,118805400
2013-01-25,20.809999,24.668571,20.801428,24.222857,24.222857,191445800
2013-01-28,24.644285,25.321428,22.969999,23.158571,23.158571,109104800
2013-01-29,22.590000,24.268572,22.375713,24.160000,24.160000,59542000
2013-01-30,24.784286,25.071428,23.237143,23.957144,23.957144,48062700
2013-01-31,23.871429,24.142857,22.902857,23.605715,23.605715,35601300
2013-02-01,24.285715,24.714285,23.411428,23.542856,23.542856,50358000
2013-02-04,23.254286,25.018572,23.254286,24.962856,24.962856,50969100
2013-02-05,24.625713,25.412857,24.428572,24.912857,24.912857,57056300
2013-02-06,25.000000,26.478571,24.935715,26.344286,26.344286,67190900
2013-02-07,26.535715,26.982857,25.505714,25.994286,25.994286,53086600
2013-02-08,25.962856,26.280001,25.715714,25.852858,25.852858,25657800
2013-02-11,25.568571,26.007143,24.971428,25.412857,25.412857,29325100
2013-02-12,25.808571,26.222857,25.101429,25.421429,25.421429,34399400
2013-02-13,25.842857,26.628571,25.665714,26.610001,26.610001,40929000
2013-02-14,26.755714,27.121429,26.384285,26.771429,26.771429,31979500
2013-02-15,26.938572,27.142857,26.608572,27.072857,27.072857,26652500
2013-02-19,27.285715,28.167143,27.164286,28.064285,28.064285,34138300
2013-02-20,28.225714,28.231428,26.642857,26.731428,26.731428,34996500
2013-02-21,26.571428,27.457144,26.071428,26.735714,26.735714,36894200
2013-02-22,26.245714,26.255714,25.490000,25.694286,25.694286,38971100
2013-02-25,25.855715,26.728571,25.064285,25.617144,25.617144,52164700
2013-02-26,25.799999,26.459999,25.085714,26.298571,26.298571,33882100
2013-02-27,26.225714,26.571428,25.794285,26.331429,26.331429,22626800
2013-02-28,26.258572,27.447144,26.215714,26.868572,26.868572,34293700
2013-03-01,26.730000,27.191429,26.601429,27.052856,27.052856,21451500
2013-03-04,26.954287,27.154285,25.237143,25.887142,25.887142,47824000
2013-03-05,26.381428,26.472857,25.440001,25.961428,25.961428,32326700
2013-03-06,26.021429,26.422857,25.654285,26.134285,26.134285,17435600
2013-03-07,25.714285,26.071428,25.165714,25.937143,25.937143,28695800
2013-03-08,26.064285,26.549999,25.815714,26.385714,26.385714,23513000
2013-03-11,26.285715,26.360001,25.572857,25.778572,25.778572,21015400
2013-03-12,25.622858,26.309999,25.607143,26.015715,26.015715,21151900
2013-03-13,26.771429,27.884285,26.678572,27.480000,27.480000,53898600
2013-03-14,27.527143,27.527143,26.724285,26.910000,26.910000,28450800
2013-03-15,27.035715,27.141428,26.364286,26.407143,26.407143,20667500
2013-03-18,25.911428,26.681429,25.792856,26.512857,26.512857,18073300
2013-03-19,26.571428,26.678572,25.607143,25.910000,25.910000,19873700
2013-03-20,26.088572,26.264286,25.775715,26.150000,26.150000,11132100
2013-03-21,26.057142,26.771429,25.995714,25.998571,25.998571,18804100
2013-03-22,26.157143,26.265715,25.642857,25.900000,25.900000,14189000
2013-03-25,26.061428,26.405714,25.681429,25.827143,25.827143,15024800
2013-03-26,26.285715,27.520000,26.228571,27.230000,27.230000,46817400
2013-03-27,27.091429,28.151428,26.904285,27.177143,27.177143,40475400
2013-03-28,27.250000,27.557142,26.942858,27.040001,27.040001,19588100
2013-04-01,27.278572,27.357143,25.924286,26.061428,26.061428,22947400
2013-04-02,26.271429,26.454287,25.157143,25.241428,25.241428,32280500
2013-04-03,25.292856,25.475714,23.465714,24.248571,24.248571,75357800
2013-04-04,23.910000,24.304285,23.401428,23.812857,23.812857,34460300
2013-04-05,23.360001,24.357143,23.218571,23.522858,23.522858,32512900
2013-04-08,23.690001,23.757143,22.714285,23.294285,23.294285,31745000
2013-04-09,23.355715,24.481428,23.150000,24.194286,24.194286,34045900
2013-04-10,24.000000,24.207144,23.558571,23.724285,23.724285,29709400
2013-04-11,24.118572,24.771429,24.117144,24.715714,24.715714,33056100
2013-04-12,25.284286,25.377142,24.457144,24.742857,24.742857,37797900
2013-04-15,25.080000,26.049999,24.971428,25.214285,25.214285,46529000
2013-04-16,24.995714,25.389999,24.610001,25.121429,25.121429,29711500
2013-04-17,24.905714,25.341429,24.038572,24.194286,24.194286,27545700
2013-04-18,24.428572,24.557142,23.114286,23.402857,23.402857,23121000
2013-04-19,23.642857,24.167143,23.290001,23.338572,23.338572,20163500
2013-04-22,23.674286,25.214285,23.674286,24.910000,24.910000,84870100
2013-04-23,30.795713,31.340000,29.930000,30.998571,30.998571,114860900
2013-04-24,31.085714,32.042858,30.459999,30.959999,30.959999,46898600
2013-04-25,30.997143,31.255714,30.467142,30.535715,30.535715,29274000
2013-04-26,31.000000,31.018572,30.360001,30.792856,30.792856,21790300
2013-04-29,30.944286,31.104286,30.287144,30.715714,30.715714,20787200
2013-04-30,30.657143,31.392857,30.605715,30.867144,30.867144,25071200
2013-05-01,30.845715,31.055714,30.235714,30.415714,30.415714,18359600
2013-05-02,30.462856,30.778572,30.027143,30.641428,30.641428,18328800
2013-05-03,30.825714,31.175714,30.385714,30.492857,30.492857,15431500
2013-05-06,29.947144,30.350000,29.145714,30.098572,30.098572,31731000
